# Planet: Rp = 4.0 earthRad, M_p = 20.0 earthMass
# Star: Rstar = 0.5 solRad, Mstar = 0.5 solMass, P_rot = 30.0 d 
# Orbit: P = 20.0 d, dur = 1.9238 h, a = 0.114449 AU, b = 0, i = 1.57 omega = 1.57
# 
# time [hr], radial velocity [m/s]
304.62462462,1.59011322
305.10510511,1.60464579
305.58558559,1.61924185
306.06606607,1.63390197
306.54654655,1.64862669
307.02702703,1.66341660
307.50750751,1.67827225
307.98798799,1.69319422
308.46846847,1.70818308
308.94894895,1.72323940
309.42942943,1.73836376
309.90990991,1.75355674
310.39039039,1.76881892
310.87087087,1.78415089
311.35135135,1.79955324
311.83183183,1.81502655
312.31231231,1.83057142
312.79279279,1.84618844
313.27327327,1.86187822
313.75375375,1.87764135
314.23423423,1.89347843
314.71471471,1.90939009
315.19519520,1.92537691
315.67567568,1.94143953
316.15615616,1.95757855
316.63663664,1.97379459
317.11711712,1.99008828
317.59759760,2.00646023
318.07807808,2.02291108
318.55855856,2.03944146
319.03903904,2.05605199
319.51951952,2.07274333
320.00000000,2.08951611
320.48048048,2.10637096
320.96096096,2.12330855
321.44144144,2.14032951
321.92192192,2.15743451
322.40240240,2.17462419
322.88288288,2.19189922
323.36336336,2.20926027
323.84384384,2.22670799
324.32432432,2.24424306
324.80480480,2.26186615
325.28528529,2.27957793
325.76576577,2.29737910
326.24624625,2.31527033
326.72672673,2.33325231
327.20720721,2.35132573
327.68768769,2.36949128
328.16816817,2.38774967
328.64864865,2.40610159
329.12912913,2.42454776
329.60960961,2.44308887
330.09009009,2.46172565
330.57057057,2.48045881
331.05105105,2.49928907
331.53153153,2.51821715
332.01201201,2.53724379
332.49249249,2.55636971
332.97297297,2.57559565
333.45345345,2.59492235
333.93393393,2.61435056
334.41441441,2.63388101
334.89489489,2.65351447
335.37537538,2.67325168
335.85585586,2.69309341
336.33633634,2.71304041
336.81681682,2.73309347
337.29729730,2.75325334
337.77777778,2.77352080
338.25825826,2.79389663
338.73873874,2.81438162
339.21921922,2.83497654
339.69969970,2.85568220
340.18018018,2.87649939
340.66066066,2.89742890
341.14114114,2.91847154
341.62162162,2.93962811
342.10210210,2.96089944
342.58258258,2.98228632
343.06306306,3.00378959
343.54354354,3.02541006
344.02402402,3.04714856
344.50450450,3.06900593
344.98498498,3.09098299
345.46546547,3.11308060
345.94594595,3.13529958
346.42642643,3.15764079
346.90690691,3.18010508
347.38738739,3.20269331
347.86786787,3.22540632
348.34834835,3.24824500
348.82882883,3.27121019
349.30930931,3.29430277
349.78978979,3.31752363
350.27027027,3.34087362
350.75075075,3.36435364
351.23123123,3.38796457
351.71171171,3.41170730
352.19219219,3.43558272
352.67267267,3.45959172
353.15315315,3.48373521
353.63363363,3.50801408
354.11411411,3.53242925
354.59459459,3.55698162
355.07507508,3.58167210
355.55555556,3.60650161
356.03603604,3.63147106
356.51651652,3.65658138
356.99699700,3.68183348
357.47747748,3.70722830
357.95795796,3.73276677
358.43843844,3.75844980
358.91891892,3.78427835
359.39939940,3.81025333
359.87987988,3.83637570
360.36036036,3.86264638
360.84084084,3.88906632
361.32132132,3.91563647
361.80180180,3.94235776
362.28228228,3.96923114
362.76276276,3.99625756
363.24324324,4.02343796
363.72372372,4.05077329
364.20420420,4.07826450
364.68468468,4.10591255
365.16516517,4.13371836
365.64564565,4.16168291
366.12612613,4.18980712
366.60660661,4.21809196
367.08708709,4.24653836
367.56756757,4.27514727
368.04804805,4.30391964
368.52852853,4.33285640
369.00900901,4.36195849
369.48948949,4.39122686
369.96996997,4.42066243
370.45045045,4.45026614
370.93093093,4.48003890
371.41141141,4.50998165
371.89189189,4.54009531
372.37237237,4.57038077
372.85285285,4.60083897
373.33333333,4.63147079
373.81381381,4.66227713
374.29429429,4.69325888
374.77477477,4.72441693
375.25525526,4.75575214
375.73573574,4.78726538
376.21621622,4.81895751
376.69669670,4.85082938
377.17717718,4.88288182
377.65765766,4.91511566
378.13813814,4.94753171
378.61861862,4.98013077
379.09909910,5.01291363
379.57957958,5.04588106
380.06006006,5.07903383
380.54054054,5.11237267
381.02102102,5.14589832
381.50150150,5.17961148
381.98198198,5.21351285
382.46246246,5.24760309
382.94294294,5.28188286
383.42342342,5.31635279
383.90390390,5.35101348
384.38438438,5.38586552
384.86486486,5.42090946
385.34534535,5.45614585
385.82582583,5.49157517
386.30630631,5.52719792
386.78678679,5.56301453
387.26726727,5.59902541
387.74774775,5.63523095
388.22822823,5.67163149
388.70870871,5.70822734
389.18918919,5.74501877
389.66966967,5.78200601
390.15015015,5.81918925
390.63063063,5.85656863
391.11111111,5.89414426
391.59159159,5.93191617
392.07207207,5.96988438
392.55255255,6.00804883
393.03303303,6.04640941
393.51351351,6.08496597
393.99399399,6.12371828
394.47447447,6.16266606
394.95495495,6.20180895
395.43543544,6.24114655
395.91591592,6.28067836
396.39639640,6.32040383
396.87687688,6.36032231
397.35735736,6.40043310
397.83783784,6.44073540
398.31831832,6.48122831
398.79879880,6.52191086
399.27927928,6.56278199
399.75975976,6.60384052
400.24024024,6.64508519
400.72072072,6.68651462
401.20120120,6.72812733
401.68168168,6.76992171
402.16216216,6.81189604
402.64264264,6.85404848
403.12312312,6.89637705
403.60360360,6.93887965
404.08408408,6.98155402
404.56456456,7.02439778
405.04504505,7.06740836
405.52552553,7.11058308
406.00600601,7.15391905
406.48648649,7.19741323
406.96696697,7.24106242
407.44744745,7.28486321
407.92792793,7.32881200
408.40840841,7.37290501
408.88888889,7.41713823
409.36936937,7.46150744
409.84984985,7.50600821
410.33033033,7.55063586
410.81081081,7.59538549
411.29129129,7.64025193
411.77177177,7.68522975
412.25225225,7.73031325
412.73273273,7.77549647
413.21321321,7.82077312
413.69369369,7.86613665
414.17417417,7.91158016
414.65465465,7.95709643
415.13513514,8.00267792
415.61561562,8.04831673
416.09609610,8.09400457
416.57657658,8.13973279
417.05705706,8.18549237
417.53753754,8.23127383
418.01801802,8.27706732
418.49849850,8.32286250
418.97897898,8.36864861
419.45945946,8.41441441
419.93993994,8.46014816
420.42042042,8.50583762
420.90090090,8.55147003
421.38138138,8.59703205
421.86186186,8.64250982
422.34234234,8.68788887
422.82282282,8.73315413
423.30330330,8.77828988
423.78378378,8.82327978
424.26426426,8.86810679
424.74474474,8.91275319
425.22522523,8.95720053
425.70570571,9.00142960
426.18618619,9.04542044
426.66666667,9.08915227
427.14714715,9.13260349
427.62762763,9.17575164
428.10810811,9.21857339
428.58858859,9.26104447
429.06906907,9.30313969
429.54954955,9.34483287
430.03003003,9.38609683
430.51051051,9.42690336
430.99099099,9.46722315
431.47147147,9.50702583
431.95195195,9.54627984
432.43243243,9.58495249
432.91291291,9.62300986
433.39339339,9.66041677
433.87387387,9.69713680
434.35435435,9.73313218
434.83483483,9.76836381
435.31531532,9.80279116
435.79579580,9.83637232
436.27627628,9.86906389
436.75675676,9.90082097
437.23723724,9.93159713
437.71771772,9.96134434
438.19819820,9.99001298
438.67867868,10.01755178
439.15915916,10.04390778
439.63963964,10.06902631
440.12012012,10.09285095
440.60060060,10.11532349
441.08108108,10.13638391
441.56156156,10.15597036
442.04204204,10.17401912
442.52252252,10.19046457
443.00300300,10.20523920
443.48348348,10.21827356
443.96396396,10.22949625
444.44444444,10.23883393
444.92492492,10.24621128
445.40540541,10.25155104
445.88588589,10.25477399
446.36636637,10.25579893
446.84684685,10.25454276
447.32732733,10.25092045
447.80780781,10.24484508
448.28828829,10.23622788
448.76876877,10.22497829
449.24924925,10.21100399
449.72972973,10.19421097
450.21021021,10.17450361
450.69069069,10.15178477
451.17117117,10.12595586
451.65165165,10.09691700
452.13213213,10.06456707
452.61261261,10.02880393
453.09309309,9.98952449
453.57357357,9.94662496
454.05405405,9.90000095
454.53453453,9.84954773
455.01501502,9.79516042
455.49549550,9.73673423
455.97597598,9.67416472
456.45645646,9.60734805
456.93693694,9.53618132
457.41741742,9.46056282
457.89789790,9.38039240
458.37837838,9.29557183
458.85885886,9.20600512
459.33933934,9.11159896
459.81981982,9.01226312
460.30030030,8.90791085
460.78078078,8.79845936
461.26126126,8.68383025
461.74174174,8.56395001
462.22222222,8.43875050
462.70270270,8.30816945
463.18318318,8.17215099
463.66366366,8.03064613
464.14414414,7.88361334
464.62462462,7.73101903
465.10510511,7.57283809
465.58558559,7.40905441
466.06606607,7.23966143
466.54654655,7.06466255
467.02702703,6.88407173
467.50750751,6.69791384
467.98798799,6.50622519
468.46846847,6.30905387
468.94894895,6.10646018
469.42942943,5.89851691
469.90990991,5.68530966
470.39039039,5.46693707
470.87087087,5.24351102
471.35135135,5.01515672
471.83183183,4.78201282
472.31231231,4.54423137
472.79279279,4.30197778
473.27327327,4.05543067
473.75375375,3.80478164
474.23423423,3.55023497
474.71471471,3.29200729
475.19519520,3.03032710
475.67567568,2.76543424
476.15615616,2.49757932
476.63663664,2.22702302
477.11711712,1.95403538
477.59759760,1.67889492
478.07807808,1.40188788
478.55855856,1.12330718
479.03903904,0.84345150
479.51951952,0.58411888
480.00000000,4.79500139
